PlotNumber,SiteUnit
L028,BWBSdk 2 /01
L034,BWBSdk 2 /01
L035,BWBSdk 2 /01
L036,BWBSdk 2 /01
L038,BWBSdk 2 /01
L039,BWBSdk 2 /01
L056,BWBSdk 2 /01
L083,BWBSdk 2 /01
L084,BWBSdk 2 /01
L100,BWBSdk 2 /01
L126,BWBSdk 2 /01
L130,BWBSdk 2 /01
L139,BWBSdk 2 /01
406950,BWBSdk 2 /02
604450,BWBSdk 2 /02
L002,BWBSdk 2 /02
L023,BWBSdk 2 /02
L029,BWBSdk 2 /02
L048,BWBSdk 2 /02
L080,BWBSdk 2 /02
L093,BWBSdk 2 /02
L102,BWBSdk 2 /02
L121,BWBSdk 2 /02
L200,BWBSdk 2 /02
L222,BWBSdk 2 /02
412950,BWBSdk 2 /04
413350,BWBSdk 2 /04
L054,BWBSdk 2 /04
L057,BWBSdk 2 /04
L072,BWBSdk 2 /04
L082,BWBSdk 2 /04
L085,BWBSdk 2 /04
L087,BWBSdk 2 /04
L088,BWBSdk 2 /04
L091,BWBSdk 2 /04
L099,BWBSdk 2 /04
L104,BWBSdk 2 /04
L107,BWBSdk 2 /04
L118,BWBSdk 2 /04
L127,BWBSdk 2 /04
L128,BWBSdk 2 /04
L135,BWBSdk 2 /04
L136,BWBSdk 2 /04
L138,BWBSdk 2 /04
L140,BWBSdk 2 /04
L142,BWBSdk 2 /04
L204,BWBSdk 2 /04
L212,BWBSdk 2 /04
L214,BWBSdk 2 /04
L215,BWBSdk 2 /04
406750,BWBSdk 2 /06
604550,BWBSdk 2 /06
412550,BWBSdk 2 /07
412650,BWBSdk 2 /07
413150,BWBSdk 2 /07
L153,BWBSdk 2 /08
L161,BWBSdk 2 /08
L162,BWBSdk 2 /08
L185,BWBSdk 2 /08
L186,BWBSdk 2 /08
L190,BWBSdk 2 /08
L216,BWBSdk 2 /08
412850,BWBSdk 2 /09
L049,BWBSdk 2 /09
L073,BWBSdk 2 /09
L094,BWBSdk 2 /09
L095,BWBSdk 2 /09
L098,BWBSdk 2 /09
L101,BWBSdk 2 /09
L202,BWBSdk 2 /09
L001,BWBSdk 2 /10
L006,BWBSdk 2 /10
L018,BWBSdk 2 /10
L024,BWBSdk 2 /10
L046,BWBSdk 2 /10
L058,BWBSdk 2 /10
L060,BWBSdk 2 /10
L076,BWBSdk 2 /10
L110,BWBSdk 2 /10
L132,BWBSdk 2 /10
L134,BWBSdk 2 /10
L141,BWBSdk 2 /10
L146,BWBSdk 2 /10
L147,BWBSdk 2 /10
L150,BWBSdk 2 /10
L154,BWBSdk 2 /10
L156,BWBSdk 2 /10
L166,BWBSdk 2 /10
L172,BWBSdk 2 /10
L176,BWBSdk 2 /10
L178,BWBSdk 2 /10
L179,BWBSdk 2 /10
L182,BWBSdk 2 /10
L188,BWBSdk 2 /10
L192,BWBSdk 2 /10
L197,BWBSdk 2 /10
L199,BWBSdk 2 /10
L221,BWBSdk 2 /10
L051,BWBSdk 2 /11
L119,BWBSdk 2 /11
L175,BWBSdk 2 /11
L201,BWBSdk 2 /11
406850,BWBSdk 2 /12
413250,BWBSdk 2 /12
8230692,BWBSmw 1 /00
8230700,BWBSmw 1 /00
8230652,BWBSmw 1 /00
8230682,BWBSmw 1 /00
8225771,BWBSmw 1 /00
8225780,BWBSmw 1 /00
8225784,BWBSmw 1 /00
8225792,BWBSmw 1 /00
8225796,BWBSmw 1 /00
5760711,BWBSmw 1 /01
5760845,BWBSmw 1 /01
5760661,BWBSmw 1 /01
5760676,BWBSmw 1 /01
5760792,BWBSmw 1 /01
5760184,BWBSmw 1 /01
5760733,BWBSmw 1 /01
8529401,BWBSmw 1 /01
8529441,BWBSmw 1 /01
8529612,BWBSmw 1 /01
8529629,BWBSmw 1 /01
8529421,BWBSmw 1 /01
8529604,BWBSmw 1 /01
8529627,BWBSmw 1 /01
8529501,BWBSmw 1 /01
8529514,BWBSmw 1 /01
8529523,BWBSmw 1 /01
8529565,BWBSmw 1 /01
8529566,BWBSmw 1 /01
8630188,BWBSmw 1 /01
