PlotNumber,SiteUnit
K99-315,ESSFdc 2 /102
K99-351,ESSFdc 2 /102
K99-405,ESSFdc 2 /102
K99-704,ESSFdc 2 /102
K99-705,ESSFdc 2 /102
762214,ESSFdc 2 /103
851981,ESSFdc 2 /103
98DL018,ESSFdc 2 /103
99DM032,ESSFdc 2 /103
99RV89,ESSFdc 2 /103
K99-375,ESSFdc 2 /103
K99-476,ESSFdc 2 /103
K99-478,ESSFdc 2 /103
X770001,ESSFdc 2 /103
780355,ESSFdc 2 /104
832104,ESSFdc 2 /104
832106,ESSFdc 2 /104
832117,ESSFdc 2 /104
832201,ESSFdc 2 /104
832312,ESSFdc 2 /104
851923,ESSFdc 2 /104
851924,ESSFdc 2 /104
851938,ESSFdc 2 /104
01OK015,ESSFdc 2 /104
01OK019,ESSFdc 2 /104
01OK037,ESSFdc 2 /104
01OK038,ESSFdc 2 /104
01OK077,ESSFdc 2 /104
98DL021,ESSFdc 2 /104
98OK031,ESSFdc 2 /104
98OK037,ESSFdc 2 /104
98OK043,ESSFdc 2 /104
99DM030,ESSFdc 2 /104
99KJ020,ESSFdc 2 /104
99MR017,ESSFdc 2 /104
99NB002,ESSFdc 2 /104
99RV120,ESSFdc 2 /104
99RV67,ESSFdc 2 /104
99RV94,ESSFdc 2 /104
99RV98,ESSFdc 2 /104
99VL002,ESSFdc 2 /104
K13-108,ESSFdc 2 /104
K99-166,ESSFdc 2 /104
K99-167,ESSFdc 2 /104
K99-330,ESSFdc 2 /104
K99-350,ESSFdc 2 /104
K99-352,ESSFdc 2 /104
K99-354,ESSFdc 2 /104
K99-406,ESSFdc 2 /104
K99-481,ESSFdc 2 /104
K99-700,ESSFdc 2 /104
K99-738,ESSFdc 2 /104
K99-739,ESSFdc 2 /104
K99-740,ESSFdc 2 /104
K99-742,ESSFdc 2 /104
K99-743,ESSFdc 2 /104
TFC009,ESSFdc 2 /104
TFC012,ESSFdc 2 /104
TFC013,ESSFdc 2 /104
TFC033,ESSFdc 2 /104
TSR035,ESSFdc 2 /104
TSR043,ESSFdc 2 /104
TSR044,ESSFdc 2 /104
TSR046,ESSFdc 2 /104
TSR053,ESSFdc 2 /104
X770023,ESSFdc 2 /104
X770085,ESSFdc 2 /104
