PlotNumber,SiteUnit
5760434,SBS vk   /Fm03
5761000,SBS wk 2 /Fm03
8102406,SBS mh   /Fm03
8220241,IDF dk 2 /Fm02
8225782,BWBSmw   /Fm20
8225786,BWBSmw   /Fm20
8230555,ICH vc   /Fm02
8230566,SBS mc 2 /Fm03
8245525,ICH wk 4 /Fm02
8245543,ICH wk 4 /Fm02
8245917,ICH vc   /Fm02
831300,BG  xh 2 /Fm01
851988,IDF dk 2 /Fm02
8529403,BWBSmw   /Fm20
8529448,BWBSmw   /Fm20
8529450,BWBSmw   /Fm20
8529481,BWBSwk 2 /Fm20
8630475,BWBSmw   /Fm20
8803317,ICH xm 1 /Fm05
88KLP04,IDF xh 1 /Fm01
88KLP19,IDF xh 1 /Fm05
8900321,BWBSmw   /Fm20
8900355,BWBSmw   /Fm20
901,BG  xh 1 /Fm06
9018,BG  xh 1 /Fm06
9035,BG  xh 1 /Fm01
9062,BG  xh 1 /Fm06
9103018,BWBSmw   /Fm20
9110,BG  xh 1 /Fm06
9132,BG  xh 1 /Fm06
94164,BG  xh 3 /Fm06
94171,BG  xh 3 /Fm05
94188,BG  xh 3 /Fm05
9612289,BWBSmk   /Fm20
9613256,SBS vk   /Fm03
9614794,SBS vk   /Fm02
9621265,BWBSmw   /Fm20
9621437,BWBSmw   /Fm20
9623767,BWBSmw   /Fm20
9628508,SBS mc 2 /Fm02
9628519,BWBSdk   /Fm20
9628536,BWBSdk   /Fm20
9628538,BWBSdk   /Fm20
9628561,SBS un   /Fm02
9628573,ESSFun   /Fm02
9628583,SBS un   /Fm02
9628819,ICH vc   /Fm03
9628988,ICH vc   /Fm03
9628999,ICH vc   /Fm03
964196,BG  xw 2 /Fm01
964214,SBS dh 1 /Fm02
9651913,IDF xh 2 /Fm01
965686,SBS vk   /Fm03
966625,BWBSdk   /Fm20
966761,BWBSdk   /Fm20
97419,IDF dk 1 /Fm02
9801380,IDF dw   /Fm01
9802070,PP  xh 1 /Fm05
9802101,PP  xh 1 /Fm05
9802109,PP  xh 1 /Fm05
98-028,BG  xh 2 /Fm06
98-033,BG  xh 2 /Fm06
98-102,PP  xh 2 /Fm05
98-124,MS  dc 3 /Fm05
98-826,MS  mw 2 /Fm02
