PlotNumber,SiteUnit
MAD3175,CDF mm   /112
MAD3248,CDF mm   /112
RCO7649,CDF mm   /112
RO 006,CDF mm   /112
RO 007,CDF mm   /112
RO 008,CDF mm   /112
RO 010,CDF mm   /112
RO 016,CDF mm   /112
RO 020,CDF mm   /112
RO 033,CDF mm   /112
RO 034,CDF mm   /112
RO 048,CDF mm   /112
RO 061,CDF mm   /112
RO 064,CDF mm   /112
RO 069,CDF mm   /112
RO 079,CDF mm   /112
RO 099,CDF mm   /112
RO 100,CDF mm   /112
RO 144,CDF mm   /112
RO 146,CDF mm   /112
RO 205,CDF mm   /112
RO 206,CDF mm   /112
RO 208,CDF mm   /112
RO 250,CDF mm   /112
RO 251,CDF mm   /112
RO 253,CDF mm   /112
RO 254,CDF mm   /112
RO 255,CDF mm   /112
RO 295,CDF mm   /112
RO 342,CDF mm   /112
RO 389,CDF mm   /112
RO 397,CDF mm   /112
RO 176,CDF mm   /112
RO 216,CDF mm   /112
RO 275,CDF mm   /112
RO 276,CDF mm   /112
RO 416,CDF mm   /112
9802051,CDF mm   /112
MAD3751,CDF mm   /112
RO 073,CDF mm   /112
RO 074,CDF mm   /112
RO 078,CDF mm   /112
RO 221,CDF mm   /112
RO 422,CDF mm   /112
RO 423,CDF mm   /112
10-2F1,CDF mm   /112
RO 009,CDF mm   /112
RO 017,CDF mm   /112
RO 055,CDF mm   /112
RO 075,CDF mm   /112
RO 085,CDF mm   /112
RO 151,CDF mm   /112
RO 161,CDF mm   /112
RO 168,CDF mm   /112
RO 188,CDF mm   /112
RO 189,CDF mm   /112
RO 377,CDF mm   /112
RO 393,CDF mm   /112
RO 398,CDF mm   /112
RO 004,CDF mm   /112
RO 087,CDF mm   /112
RO 092,CDF mm   /112
RO 095,CDF mm   /112
RO 195,CDF mm   /112
RO 249,CDF mm   /112
RO 348,CDF mm   /112
RO 413,CDF mm   /112
9400361,CDF mm   /113
9400507,CDF mm   /113
MAD3269,CDF mm   /113
261,CDF mm   /113
9400358,CDF mm   /113
9400359,CDF mm   /113
9400404,CDF mm   /113
95VI10,CDF mm   /113
MAD3247,CDF mm   /113
MAD3666,CDF mm   /113
9400346,CDF mm   /Wb55
MAD0005,CDF mm   /Wb55
MAD0013,CDF mm   /Wb55
MAD0019,CDF mm   /Wb55
95VI05,CDF mm   /Wb55
RO 147,CDF mm   /115
RO 227,CDF mm   /115
RO 148,CDF mm   /115
RO 155,CDF mm   /115
RO 158,CDF mm   /115
RO 217,CDF mm   /115
RO 218,CDF mm   /115
RO 220,CDF mm   /115
RO 222,CDF mm   /115
RO 387,CDF mm   /115
RO 417,CDF mm   /115
RO 219,CDF mm   /115
RO 420,CDF mm   /115
9400504,CDF mm   /115
9400515,CDF mm   /115
MAD1183,CDF mm   /116
02-3091,CDF mm   /116
24-4G1,CDF mm   /116
26-4F5,CDF mm   /116
27-4F4,CDF mm   /116
16-2F13,CDF mm   /116
27-4G1,CDF mm   /116
RO 191,CDF mm   /116
RO 378,CDF mm   /116
RO 157,CDF mm   /116
RO 160,CDF mm   /116
RO 210,CDF mm   /116
RO 211,CDF mm   /116
RO 415,CDF mm   /116
RO 386,CDF mm   /116
RO 096,CDF mm   /116
RO 213,CDF mm   /117
RO 256,CDF mm   /117
RO 264,CDF mm   /117
RO 267,CDF mm   /117
RO 271,CDF mm   /117
RO 272,CDF mm   /117
RO 273,CDF mm   /117
RO 274,CDF mm   /117
RO 278,CDF mm   /117
RO 279,CDF mm   /117
RO 298,CDF mm   /117
RO 299,CDF mm   /117
RO 379,CDF mm   /117
RO 382,CDF mm   /117
RO 384,CDF mm   /117
RO 385,CDF mm   /117
RO 401,CDF mm   /117
RO 402,CDF mm   /117
RO 403,CDF mm   /117
RO 199,CDF mm   /117
RO 212,CDF mm   /117
RO 237,CDF mm   /117
RO 238,CDF mm   /117
RO 265,CDF mm   /117
RO 266,CDF mm   /117
RO 268,CDF mm   /117
RO 269,CDF mm   /117
RO 270,CDF mm   /117
RO 305,CDF mm   /117
RO 306,CDF mm   /117
RO 307,CDF mm   /117
RO 308,CDF mm   /117
RO 311,CDF mm   /117
RO 312,CDF mm   /117
RO 395,CDF mm   /117
RO 396,CDF mm   /117
RO 032,CDF mm   /117
RO 204,CDF mm   /117
RO 239,CDF mm   /117
RO 240,CDF mm   /117
RO 241,CDF mm   /117
RO 242,CDF mm   /117
RO 243,CDF mm   /117
RO 245,CDF mm   /117
RO 246,CDF mm   /117
RO 258,CDF mm   /117
RO 263,CDF mm   /117
RO 309,CDF mm   /117
RO 390,CDF mm   /117
RO 391,CDF mm   /117
RO 392,CDF mm   /117
RO 414,CDF mm   /117
RO 248,CDF mm   /117
RO 198,CDF mm   /117
RO 200,CDF mm   /117
RO 257,CDF mm   /117
RO 261,CDF mm   /117
RO 262,CDF mm   /117
RO 310,CDF mm   /117
