"PlotNumber","SiteUnit"
"98-212","BG  xw 1 /101 (Gg04d)"
"K99-118","BG  xw 1 /101 (Gg04d)"
"K99-205","BG  xw 1 /101 (Gg04d)"
"K99-249","BG  xw 1 /101 (Gg04d)"
"K99-250","BG  xw 1 /101 (Gg04d)"
"K99-251","BG  xw 1 /101 (Gg04d)"
"K99-253","BG  xw 1 /101 (Gg04d)"
"K99-255","BG  xw 1 /101 (Gg04d)"
"K99-257","BG  xw 1 /101 (Gg04d)"
"K99-271","BG  xw 1 /101 (Gg04d)"
"K99-280","BG  xw 1 /101 (Gg04d)"
"MCLR16B","BG  xw 1 /101 (Gg04d)"
"R119682","BG  xw 1 /101 (Gg04d)"
"R201781","BG  xw 1 /101 (Gg04d)"
"R202781","BG  xw 1 /101 (Gg04d)"
"R302781","BG  xw 1 /101 (Gg04d)"
"VIC1881","BG  xw 1 /101 (Gg04d)"
"VIC1981","BG  xw 1 /101 (Gg04d)"
"780609","BG  xw 1 /102"
"K99-108","BG  xw 1 /102"
"K99-215","BG  xw 1 /102"
"K99-267","BG  xw 1 /102"
"R203781","BG  xw 1 /102"
"780614","BG  xw 1 /110"
"831383","BG  xw 1 /110"
"98-220","BG  xw 1 /110"
"K99-036","BG  xw 1 /110"
"K99-007","BG  xw 1 /111"
"K99-037","BG  xw 1 /111"
"K99-106","BG  xw 1 /111"
"K99-216","BG  xw 1 /111"
"K99-259","BG  xw 1 /111"
"780459","BG  xw 1 /Omit"
"831304","BG  xw 1 /Omit"
"831348","BG  xw 1 /Omit"
"831349","BG  xw 1 /Omit"
"831357","BG  xw 1 /Omit"
"841503","BG  xw 1 /Omit"
"841536","BG  xw 1 /Omit"
"9628828","BG  xw 1 /Omit"
"9628838","BG  xw 1 /Omit"
"K00-264","BG  xw 1 /Omit"
"K00-265","BG  xw 1 /Omit"
"K00-266","BG  xw 1 /Omit"
"K08-070","BG  xw 1 /Omit"
"K99-003","BG  xw 1 /Omit"
"K99-006","BG  xw 1 /Omit"
"K99-047","BG  xw 1 /Omit"
"K99-121","BG  xw 1 /Omit"
"K99-252","BG  xw 1 /Omit"
"K99-262","BG  xw 1 /Omit"
"K99-263","BG  xw 1 /Omit"
"K99-266","BG  xw 1 /Omit"
"MCL015","BG  xw 1 /Omit"
"MCL11B","BG  xw 1 /Omit"
"MCL14C","BG  xw 1 /Omit"
"MCL14D","BG  xw 1 /Omit"
"MCL14E","BG  xw 1 /Omit"
"MCL16D","BG  xw 1 /Omit"
"MCL18B","BG  xw 1 /Omit"
"MCLR06","BG  xw 1 /Omit"
"MCLR26","BG  xw 1 /Omit"
"01OK066","ESSFdc 2 /101"
"01OK070","ESSFdc 2 /101"
"01OK073","ESSFdc 2 /101"
"762217","ESSFdc 2 /101"
"770139","ESSFdc 2 /101"
"780385","ESSFdc 2 /101"
"780419","ESSFdc 2 /101"
"780432","ESSFdc 2 /101"
"811057","ESSFdc 2 /101"
"832120","ESSFdc 2 /101"
"851906","ESSFdc 2 /101"
"851920","ESSFdc 2 /101"
"851936","ESSFdc 2 /101"
"99DB021","ESSFdc 2 /101"
"99DM027","ESSFdc 2 /101"
"99DM035","ESSFdc 2 /101"
"99KJ022","ESSFdc 2 /101"
"99MD026","ESSFdc 2 /101"
"99RV85","ESSFdc 2 /101"
"99RV93","ESSFdc 2 /101"
"99RV95","ESSFdc 2 /101"
"99RV99","ESSFdc 2 /101"
"K13-121","ESSFdc 2 /101"
"K13-122","ESSFdc 2 /101"
"K99-364","ESSFdc 2 /101"
"K99-367","ESSFdc 2 /101"
"K99-470","ESSFdc 2 /101"
"K99-471","ESSFdc 2 /101"
"K99-474","ESSFdc 2 /101"
"R770101","ESSFdc 2 /101"
"RC6603","ESSFdc 2 /101"
"TFC030","ESSFdc 2 /101"
"TFC031","ESSFdc 2 /101"
"TSB168","ESSFdc 2 /101"
"TSR037","ESSFdc 2 /101"
"TSR069","ESSFdc 2 /101"
"TSR070","ESSFdc 2 /101"
"TSR072","ESSFdc 2 /101"
"TSR073","ESSFdc 2 /101"
"X780385","ESSFdc 2 /101"
"99NB003","ESSFdc 2 /101"
"98DL023","ESSFdc 2 /102"
"98OK030","ESSFdc 2 /102"
"98OK044","ESSFdc 2 /102"
"99MD027","ESSFdc 2 /102"
"K99-315","ESSFdc 2 /102"
"K99-351","ESSFdc 2 /102"
"K99-405","ESSFdc 2 /102"
"K99-704","ESSFdc 2 /102"
"K99-705","ESSFdc 2 /102"
"762214","ESSFdc 2 /103"
"851981","ESSFdc 2 /103"
"98DL018","ESSFdc 2 /103"
"99DM032","ESSFdc 2 /103"
"99RV89","ESSFdc 2 /103"
"K99-375","ESSFdc 2 /103"
"K99-476","ESSFdc 2 /103"
"K99-478","ESSFdc 2 /103"
"X770001","ESSFdc 2 /103"
"TFC009","ESSFdc 2 /104"
"TFC012","ESSFdc 2 /104"
"TFC013","ESSFdc 2 /104"
"01OK015","ESSFdc 2 /104"
"01OK019","ESSFdc 2 /104"
"01OK037","ESSFdc 2 /104"
"01OK038","ESSFdc 2 /104"
"01OK077","ESSFdc 2 /104"
"780355","ESSFdc 2 /104"
"832104","ESSFdc 2 /104"
"832106","ESSFdc 2 /104"
"832117","ESSFdc 2 /104"
"832201","ESSFdc 2 /104"
"832312","ESSFdc 2 /104"
"851923","ESSFdc 2 /104"
"851924","ESSFdc 2 /104"
"851938","ESSFdc 2 /104"
"98DL021","ESSFdc 2 /104"
"98OK031","ESSFdc 2 /104"
"98OK037","ESSFdc 2 /104"
"98OK043","ESSFdc 2 /104"
"99DM030","ESSFdc 2 /104"
"99KJ020","ESSFdc 2 /104"
"99MR017","ESSFdc 2 /104"
"99NB002","ESSFdc 2 /104"
"99RV120","ESSFdc 2 /104"
"99RV67","ESSFdc 2 /104"
"99RV94","ESSFdc 2 /104"
"99RV98","ESSFdc 2 /104"
"99VL002","ESSFdc 2 /104"
"K13-108","ESSFdc 2 /104"
"K99-166","ESSFdc 2 /104"
"K99-167","ESSFdc 2 /104"
"K99-330","ESSFdc 2 /104"
"K99-350","ESSFdc 2 /104"
"K99-352","ESSFdc 2 /104"
"K99-354","ESSFdc 2 /104"
"K99-406","ESSFdc 2 /104"
"K99-481","ESSFdc 2 /104"
"K99-700","ESSFdc 2 /104"
"K99-738","ESSFdc 2 /104"
"K99-739","ESSFdc 2 /104"
"K99-740","ESSFdc 2 /104"
"K99-742","ESSFdc 2 /104"
"K99-743","ESSFdc 2 /104"
"TFC033","ESSFdc 2 /104"
"TSR035","ESSFdc 2 /104"
"TSR043","ESSFdc 2 /104"
"TSR044","ESSFdc 2 /104"
"TSR046","ESSFdc 2 /104"
"TSR053","ESSFdc 2 /104"
"X770023","ESSFdc 2 /104"
"X770085","ESSFdc 2 /104"
"X780353","ESSFdc 2 /104"
"X780363","ESSFdc 2 /104"
"X780371","ESSFdc 2 /104"
"X780375","ESSFdc 2 /104"
"01OK036","ESSFdc 2 /110"
"K99-429","ESSFdc 2 /110"
"832116","ESSFdc 2 /110"
"832202","ESSFdc 2 /110"
"832209","ESSFdc 2 /110"
"832307","ESSFdc 2 /110"
"X770076","ESSFdc 2 /110"
"X770078","ESSFdc 2 /110"
"X770079","ESSFdc 2 /110"
"X770082","ESSFdc 2 /110"
"X780378","ESSFdc 2 /110"
"TFC014","ESSFdc 2 /111"
"K99-737","ESSFdc 2 /111"
"K99-706","ESSFdc 2 /111"
"K99-428","ESSFdc 2 /111"
"762213","ESSFdc 2 /111"
"762218","ESSFdc 2 /111"
"762287","ESSFdc 2 /111"
"780382","ESSFdc 2 /111"
"780384","ESSFdc 2 /111"
"780463","ESSFdc 2 /111"
"811058","ESSFdc 2 /111"
"832204","ESSFdc 2 /111"
"832302","ESSFdc 2 /111"
"832305","ESSFdc 2 /111"
"832314","ESSFdc 2 /111"
"832316","ESSFdc 2 /111"
"832320","ESSFdc 2 /111"
"851921","ESSFdc 2 /111"
"851939","ESSFdc 2 /111"
"98DL022","ESSFdc 2 /111"
"99RV86","ESSFdc 2 /111"
"K99-349","ESSFdc 2 /111"
"K99-355","ESSFdc 2 /111"
"K99-366","ESSFdc 2 /111"
"K99-407","ESSFdc 2 /111"
"K99-477","ESSFdc 2 /111"
"TSR041","ESSFdc 2 /111"
"X770020","ESSFdc 2 /111"
"X770022","ESSFdc 2 /111"
"X770073","ESSFdc 2 /111"
"X770075","ESSFdc 2 /111"
"X780348","ESSFdc 2 /111"
"X780364","ESSFdc 2 /111"
"TSR045","ESSFdc 2 /111"
"K99-168","ESSFdc 2 /112"
"K99-736","ESSFdc 2 /112"
"01OK039","ESSFdc 2 /112"
"01OK041","ESSFdc 2 /112"
"832114","ESSFdc 2 /112"
"832304","ESSFdc 2 /112"
"832308","ESSFdc 2 /112"
"98OK092","ESSFdc 2 /112"
"99KJ034","ESSFdc 2 /112"
"K99-353","ESSFdc 2 /112"
"K99-473","ESSFdc 2 /112"
"K99-734","ESSFdc 2 /112"
"01OK016","ESSFdc 2 /Omit"
"01OK017","ESSFdc 2 /Omit"
"01OK018","ESSFdc 2 /Omit"
"01OK031","ESSFdc 2 /Omit"
"01OK033","ESSFdc 2 /Omit"
"01OK034","ESSFdc 2 /Omit"
"01OK035","ESSFdc 2 /Omit"
"01OK079","ESSFdc 2 /Omit"
"01OK080","ESSFdc 2 /Omit"
"01OK081","ESSFdc 2 /Omit"
"01OK129","ESSFdc 2 /Omit"
"01OK130","ESSFdc 2 /Omit"
"01OK131","ESSFdc 2 /Omit"
