PlotNumber,SiteUnit
08-7838,ESSFwm 1 /102
12-9027,ESSFwm 1 /102
08-7844,ESSFwm 1 /103
12-9917,ESSFwm 1 /103
12-9929,ESSFwm 1 /103
CM582B,ESSFwm 1 /103
KN02662,ESSFwm 1 /103
KN02668,ESSFwm 1 /103
N06-374,ESSFwm 1 /103
08-1329,ESSFwm 1 /104
08-7835,ESSFwm 1 /104
08-8021,ESSFwm 1 /104
12-9028,ESSFwm 1 /104
12-9915,ESSFwm 1 /104
12-9927,ESSFwm 1 /104
CM582F,ESSFwm 1 /104
KN02656,ESSFwm 1 /104
N06-348,ESSFwm 1 /104
N06-350,ESSFwm 1 /104
N06-384,ESSFwm 1 /104
N06-940,ESSFwm 1 /104
N99G12,ESSFwm 1 /104
08-1407,ESSFwm 1 /110
08-2301,ESSFwm 1 /110
08-2303,ESSFwm 1 /110
08-7829,ESSFwm 1 /110
08-7832,ESSFwm 1 /110
08-7839,ESSFwm 1 /110
08-7840,ESSFwm 1 /110
08-7841,ESSFwm 1 /110
08-8012,ESSFwm 1 /110
08-8019,ESSFwm 1 /110
12-9033,ESSFwm 1 /110
12-9930,ESSFwm 1 /110
CM02198,ESSFwm 1 /110
IL30,ESSFwm 1 /110
KN02492,ESSFwm 1 /110
N06-372,ESSFwm 1 /110
N06-937,ESSFwm 1 /110
08-7836,ESSFwm 1 /111
08-8020,ESSFwm 1 /111
12-9924,ESSFwm 1 /111
CM02109,ESSFwm 1 /111
CM1295A,ESSFwm 1 /111
CM1295C,ESSFwm 1 /111
CM1295D,ESSFwm 1 /111
CM1295H,ESSFwm 1 /111
N06-386,ESSFwm 1 /111
08-8018,ESSFwm 1 /112a
N06-370,ESSFwm 1 /112a
12-9034,ESSFwm 1 /112b (Ws08)
12-9926,ESSFwm 1 /112b (Ws08)
08-1350,ICH mk 4 /101
08-1351,ICH mk 4 /101
08-2310,ICH mk 4 /101
08-2311,ICH mk 4 /101
08-8022,ICH mk 4 /101
12-9030,ICH mk 4 /101
12-9918,ICH mk 4 /101
BW3029,ICH mk 4 /101
IL78,ICH mk 4 /101
IL95,ICH mk 4 /101
MG24,ICH mk 4 /101
MG61,ICH mk 4 /101
N06-915,ICH mk 4 /101
NCCK11,ICH mk 4 /101
NCCK243,ICH mk 4 /101
NCCK268,ICH mk 4 /101
12-9935,ICH mk 4 /102a
12-9921,ICH mk 4 /102b
NCCK46,ICH mk 4 /102b
?780457,ICH mk 4 /103
08-2383,ICH mk 4 /103
12-9036,ICH mk 4 /103
12-9919,ICH mk 4 /103
12-9934,ICH mk 4 /103
BW3052,ICH mk 4 /103
IL41,ICH mk 4 /103
IL79,ICH mk 4 /103
N06-328,ICH mk 4 /103
NCCK144,ICH mk 4 /103
NCCK26,ICH mk 4 /103
NCCK70,ICH mk 4 /103
08-2307,ICH mk 4 /110
08-2309,ICH mk 4 /110
12-9920,ICH mk 4 /110
BW3070,ICH mk 4 /110
IL101,ICH mk 4 /110
IL49,ICH mk 4 /110
N05-424,ICH mk 4 /110
NCCK213,ICH mk 4 /110
NCCK253,ICH mk 4 /110
12-9029,ICH mk 4 /111
CM02183,ICH mk 4 /111
IL18,ICH mk 4 /111
IL77,ICH mk 4 /111
N05-422,ICH mk 4 /111
N05-423,ICH mk 4 /111
N05-434,ICH mk 4 /111
N06-325,ICH mk 4 /111
12-9032,ICH mk 4 /112a
LPGR07,ICH mk 4 /112a
N05-435,ICH mk 4 /112a
NCCK1,ICH mk 4 /112a
NCCK23,ICH mk 4 /112a
NCCK63,ICH mk 4 /112a
109205,IDF dk 5 /101
109206,IDF dk 5 /101
109207,IDF dk 5 /101
109208,IDF dk 5 /101
9616024,IDF dk 5 /101
9616033,IDF dk 5 /101
9616044,IDF dk 5 /101
9616050,IDF dk 5 /101
9616066,IDF dk 5 /101
9616067,IDF dk 5 /101
9629950,IDF dk 5 /101
9629976,IDF dk 5 /101
9629980,IDF dk 5 /101
964106,IDF dk 5 /101
964364,IDF dk 5 /101
964372,IDF dk 5 /101
9903068,IDF dk 5 /101
9903073,IDF dk 5 /101
GH-D92,IDF dk 5 /101
H791451,IDF dk 5 /101
PA2003,IDF dk 5 /101
PSP9338,IDF dk 5 /101
PSP9339,IDF dk 5 /101
T1305,IDF dk 5 /101
T1576,IDF dk 5 /101
T1584,IDF dk 5 /101
T1588,IDF dk 5 /101
T1590,IDF dk 5 /101
T1599,IDF dk 5 /101
T1661,IDF dk 5 /101
12-6434,IDF dk 5 /102
12-6435,IDF dk 5 /102
9903078,IDF dk 5 /102
GH-D36,IDF dk 5 /102
N05-105,IDF dk 5 /102
N06-928,IDF dk 5 /102
N06-929,IDF dk 5 /102
N06-944,IDF dk 5 /102
N06-945,IDF dk 5 /102
N06-946,IDF dk 5 /102
T1589,IDF dk 5 /102
12-6471,IDF dk 5 /103
9616023,IDF dk 5 /103
9629953,IDF dk 5 /103
9629964,IDF dk 5 /103
9629968,IDF dk 5 /103
GH-D24,IDF dk 5 /103
H801972,IDF dk 5 /103
N05-135,IDF dk 5 /103
N06-926,IDF dk 5 /103
N06-927,IDF dk 5 /103
RS23292,IDF dk 5 /103
T1176,IDF dk 5 /103
9629954,IDF dk 5 /104
9629966,IDF dk 5 /104
9629981,IDF dk 5 /104
964285,IDF dk 5 /104
964336,IDF dk 5 /104
964338,IDF dk 5 /104
964339,IDF dk 5 /104
964355,IDF dk 5 /104
9903066,IDF dk 5 /104
9903071,IDF dk 5 /104
GH-D15,IDF dk 5 /104
HD2002,IDF dk 5 /104
K801886,IDF dk 5 /104
K801890,IDF dk 5 /104
K801929,IDF dk 5 /104
12-6470,IDF dk 5 /110
9616020,IDF dk 5 /110
9616021,IDF dk 5 /110
9616049,IDF dk 5 /110
9629952,IDF dk 5 /110
9629978,IDF dk 5 /110
964359,IDF dk 5 /110
9800795,IDF dk 5 /110
9903075,IDF dk 5 /110
GH-D86,IDF dk 5 /110
K801928,IDF dk 5 /110
N05-101,IDF dk 5 /110
N05-103,IDF dk 5 /110
N05-104,IDF dk 5 /110
N05-108,IDF dk 5 /110
T1061,IDF dk 5 /110
T1112,IDF dk 5 /110
T1198,IDF dk 5 /110
T1201,IDF dk 5 /110
964260,IDF dk 5 /111a
9903063,IDF dk 5 /111a
GH-D60,IDF dk 5 /111a
GH-D76,IDF dk 5 /111a
K801922,IDF dk 5 /111a
P801940,IDF dk 5 /111a
N05-102,IDF dk 5 /111b (Ws07)
?791118,IDF dm 2 /101
?801806,IDF dm 2 /101
?801809,IDF dm 2 /101
?801814,IDF dm 2 /101
b47b5,IDF dm 2 /101
b523342,IDF dm 2 /101
CFI625C,IDF dm 2 /101
KiK17,IDF dm 2 /101
KN02598,IDF dm 2 /101
N06-150,IDF dm 2 /101
N074424,IDF dm 2 /101
P791189,IDF dm 2 /101
P801843,IDF dm 2 /101
PD00347,IDF dm 2 /101
PD00351,IDF dm 2 /101
PD00369,IDF dm 2 /101
PSP9209,IDF dm 2 /101
PSP9218,IDF dm 2 /101
PSP9306,IDF dm 2 /101
PSP9321,IDF dm 2 /101
PSP9323,IDF dm 2 /101
V801897,IDF dm 2 /101
b4778,IDF dm 2 /102
N06-100,IDF dm 2 /102
N06-102,IDF dm 2 /102
N06-113,IDF dm 2 /102
N06-121,IDF dm 2 /102
N06-305,IDF dm 2 /102
?791120,IDF dm 2 /103
?801808,IDF dm 2 /103
?801829,IDF dm 2 /103
b47b6,IDF dm 2 /103
b47b7,IDF dm 2 /103
BW3002,IDF dm 2 /103
CFI203A,IDF dm 2 /103
CFI246A,IDF dm 2 /103
CFI312A,IDF dm 2 /103
CFI9A,IDF dm 2 /103
IN37-2,IDF dm 2 /103
IN46-2,IDF dm 2 /103
KN02602,IDF dm 2 /103
N05-141,IDF dm 2 /103
NFI0114,IDF dm 2 /103
O801876,IDF dm 2 /103
PD00357,IDF dm 2 /103
PL3,IDF dm 2 /103
PL30,IDF dm 2 /103
PYGIF88,IDF dm 2 /103
V801903,IDF dm 2 /103
?801824,IDF dm 2 /104.1
?801825,IDF dm 2 /104.1
?801833,IDF dm 2 /104.1
b4787,IDF dm 2 /104.1
CFI587B,IDF dm 2 /104.1
CFI99A,IDF dm 2 /104.1
IN37-3,IDF dm 2 /104.1
IN7-1,IDF dm 2 /104.1
KN02606,IDF dm 2 /104.1
LV06-95,IDF dm 2 /104.1
P801871,IDF dm 2 /104.1
P801872,IDF dm 2 /104.1
PD00349,IDF dm 2 /104.1
PD00359,IDF dm 2 /104.1
PD00363,IDF dm 2 /104.1
PL10,IDF dm 2 /104.1
PL2,IDF dm 2 /104.1
PL20,IDF dm 2 /104.1
SA08-95,IDF dm 2 /104.1
ST11-95,IDF dm 2 /104.1
?796940,IDF dm 2 /104.2
BW3034,IDF dm 2 /104.2
BW3043,IDF dm 2 /104.2
BW3045,IDF dm 2 /104.2
BW3047,IDF dm 2 /104.2
PSP9309,IDF dm 2 /104.2
?801823,IDF dm 2 /110
BW3061,IDF dm 2 /110
N06-118,IDF dm 2 /110
PD00358,IDF dm 2 /110
PL12,IDF dm 2 /110
PL26,IDF dm 2 /110
PSP9324,IDF dm 2 /110
V801896,IDF dm 2 /110
V801902,IDF dm 2 /110
V801905,IDF dm 2 /110
?791124,IDF dm 2 /111
?796941,IDF dm 2 /111
?801827,IDF dm 2 /111
IN16-2,IDF dm 2 /111
N06-306,IDF dm 2 /111
N06-340,IDF dm 2 /111
N07-003,IDF dm 2 /111
P791190,IDF dm 2 /111
PL25,IDF dm 2 /111
Ki9324,IDF dm 2 /112a
N06-062,IDF dm 2 /112a
N06-063,IDF dm 2 /112a
N06-143,IDF dm 2 /112a
N06-144,IDF dm 2 /112a
N06-148,IDF dm 2 /112a
N06-149,IDF dm 2 /112a
P801869,IDF dm 2 /112a
BW3033,IDF dm 2 /112b (Ws07)
N06-137,IDF dm 2 /112b (Ws07)
N06-138,IDF dm 2 /112b (Ws07)
109201,IDF xk   /101
964316,IDF xk   /101
964377,IDF xk   /101
964381,IDF xk   /101
L801958,IDF xk   /101
RS23228,IDF xk   /101
12-6428,IDF xk   /102a
12-6432,IDF xk   /102a
N06-380,IDF xk   /102a
RS23220,IDF xk   /102a
300851,IDF xk   /102b
964300,IDF xk   /102b
964319,IDF xk   /102b
IN28-1,IDF xk   /102b
N06-188,IDF xk   /102b
N06-300,IDF xk   /102b
109202,IDF xk   /103
109204,IDF xk   /103
12-6469,IDF xk   /103
12-6472,IDF xk   /103
HD1004,IDF xk   /103
N05-156,IDF xk   /103
P801957,IDF xk   /103
RS23227,IDF xk   /103
RS23256,IDF xk   /103
WE10-99,IDF xk   /103
964207,IDF xk   /110
109184,IDF xk   /110
06RC-02,IDF xk   /110
12-6431,IDF xk   /110
IN28-2,IDF xk   /110
N05-138,IDF xk   /110
N06-185,IDF xk   /110
N06-191,IDF xk   /110
N06-301,IDF xk   /110
N06-316,IDF xk   /110
N06-377,IDF xk   /110
RS23223,IDF xk   /110
964208,IDF xk   /111
N06-189,IDF xk   /111
N06-190,IDF xk   /111
N06-314,IDF xk   /111
12-6430,IDF xk   /112
12-6433,IDF xk   /112
N05-139,IDF xk   /112
N05-140,IDF xk   /112
N05-145,IDF xk   /112
N05-147,IDF xk   /112
N05-152,IDF xk   /112
N05-153,IDF xk   /112
N06-311,IDF xk   /112
n06-381,IDF xk   /113a
CM1382A,IDF xx 2 /101.1
CM84C,IDF xx 2 /101.1
N06-059,IDF xx 2 /101.1
PSP9319,IDF xx 2 /101.1
?791117,IDF xx 2 /101.2
CM1382B,IDF xx 2 /101.2
CM84A,IDF xx 2 /101.2
N06-054,IDF xx 2 /101.2
N06-187,IDF xx 2 /101.2
PSP9320,IDF xx 2 /101.2
V791146,IDF xx 2 /101.2
N123309,IDF xx 2 /102
?791121,IDF xx 2 /103
?791122,IDF xx 2 /103
?791125,IDF xx 2 /103
12-6440,IDF xx 2 /103
12-6441,IDF xx 2 /103
12-6442,IDF xx 2 /103
N06-053,IDF xx 2 /103
V791128,IDF xx 2 /103
V791130,IDF xx 2 /103
V791159,IDF xx 2 /103
?791102,IDF xx 2 /104
?791103,IDF xx 2 /104
?791105,IDF xx 2 /104
?791107,IDF xx 2 /104
?791113,IDF xx 2 /104
?791127,IDF xx 2 /104
E791138,IDF xx 2 /104
kiK9,IDF xx 2 /104
N06-037,IDF xx 2 /104
N06-048,IDF xx 2 /104
N06-056,IDF xx 2 /104
N06-064,IDF xx 2 /104
PD00430,IDF xx 2 /104
V791141,IDF xx 2 /104
V791148,IDF xx 2 /104
V791168,IDF xx 2 /104
12-6427,IDF xx 2 /110
12-6439,IDF xx 2 /110
N06-049,IDF xx 2 /110
N06-051,IDF xx 2 /110
N06-067,IDF xx 2 /110
N06-310,IDF xx 2 /110
ki9320,IDF xx 2 /111
N06-045,IDF xx 2 /111
N06-050,IDF xx 2 /111
N06-065,IDF xx 2 /112a
N06-074,IDF xx 2 /112a
3101,MS  dk   /101
3104,MS  dk   /101
08-8400,MS  dk   /101
12-6462,MS  dk   /101
6744,MS  dk   /101
9616037,MS  dk   /101
9616078,MS  dk   /101
BB1005,MS  dk   /101
CFI422A,MS  dk   /101
CFI422B,MS  dk   /101
CFI422C,MS  dk   /101
GH-K95,MS  dk   /101
H791370,MS  dk   /101
K801966,MS  dk   /101
MF2004,MS  dk   /101
N06-362,MS  dk   /101
N06-910,MS  dk   /101
O801857,MS  dk   /101
P801832,MS  dk   /101
PA2012,MS  dk   /101
PA2042,MS  dk   /101
RS23299,MS  dk   /101
SF284,MS  dk   /101
SF62,MS  dk   /101
V801803,MS  dk   /101
300858,MS  dk   /102
964353,MS  dk   /102
964422,MS  dk   /102
CFI274A,MS  dk   /102
CFI274B,MS  dk   /102
MF2003,MS  dk   /102
N05-010,MS  dk   /102
N05-218,MS  dk   /102
PA7220,MS  dk   /102
RS23215,MS  dk   /102
RS23285,MS  dk   /102
RS23304,MS  dk   /102
SD2015,MS  dk   /102
300985,MS  dk   /103
9616045,MS  dk   /103
9616046,MS  dk   /103
9616048,MS  dk   /103
9616071,MS  dk   /103
964299,MS  dk   /103
964313,MS  dk   /103
964335,MS  dk   /103
HD2018,MS  dk   /103
JE8539,MS  dk   /103
L801935,MS  dk   /103
N05-111,MS  dk   /103
NFI0273,MS  dk   /103
O801880,MS  dk   /103
O801887,MS  dk   /103
P801842,MS  dk   /103
P801845,MS  dk   /103
P801926,MS  dk   /103
PA7267,MS  dk   /103
PD00415,MS  dk   /103
RS23212,MS  dk   /103
RS23219,MS  dk   /103
HD2019,MS  dk   /104
JD2007,MS  dk   /104
L801909,MS  dk   /104
L801937,MS  dk   /104
MF2009,MS  dk   /104
PA7249,MS  dk   /104
9800827,MS  dk   /105
12-6464,MS  dk   /105
9616026,MS  dk   /105
9616028,MS  dk   /105
9616029,MS  dk   /105
9616069,MS  dk   /105
9616092,MS  dk   /105
9629960,MS  dk   /105
964308,MS  dk   /105
964354,MS  dk   /105
9800875,MS  dk   /105
GH-D45,MS  dk   /105
H801970,MS  dk   /105
HD1015,MS  dk   /105
HD2031,MS  dk   /105
JD1009,MS  dk   /105
JD1015,MS  dk   /105
JD1019,MS  dk   /105
K801933,MS  dk   /105
K801938,MS  dk   /105
K801943,MS  dk   /105
K801964,MS  dk   /105
L801917,MS  dk   /105
L801950,MS  dk   /105
MF2006,MS  dk   /105
P801838,MS  dk   /105
P801854,MS  dk   /105
P801855,MS  dk   /105
PA2008,MS  dk   /105
PA2015,MS  dk   /105
PA7213,MS  dk   /105
RS23214,MS  dk   /105
SD2013,MS  dk   /105
SD2084,MS  dk   /105
SD2085,MS  dk   /105
SD2134,MS  dk   /105
T1149,MS  dk   /105
T624,MS  dk   /105
V801818,MS  dk   /105
9616065,MS  dk   /110.1
9616086,MS  dk   /110.1
964292,MS  dk   /110.1
964376,MS  dk   /110.1
9800838,MS  dk   /110.1
9800876,MS  dk   /110.1
9800889,MS  dk   /110.1
9800992,MS  dk   /110.1
BB1024,MS  dk   /110.1
GH-K137,MS  dk   /110.1
H791367,MS  dk   /110.1
HD1017,MS  dk   /110.1
JD1006,MS  dk   /110.1
K801921,MS  dk   /110.1
L801916,MS  dk   /110.1
N05-419,MS  dk   /110.1
N06-400,MS  dk   /110.1
P801802,MS  dk   /110.1
P801849,MS  dk   /110.1
P801850,MS  dk   /110.1
P801851,MS  dk   /110.1
PA2075,MS  dk   /110.1
PA7215,MS  dk   /110.1
PD00417,MS  dk   /110.1
RS23300,MS  dk   /110.1
RS23302,MS  dk   /110.1
RS23368,MS  dk   /110.1
