"PlotNumber","SiteUnit"
"94117","BG  xh 3 /112(Fm01)"
"94118","BG  xh 3 /Rt04b"
"94130","BG  xh 3 /Gg04"
"94133","BG  xh 3 /Gs02b"
"94134","BG  xh 3 /Gg04"
"94135","BG  xh 3 /Rt04a"
"94164","BG  xh 3 /113(Fm05)"
"94165","BG  xh 3 /Ff01"
"94171","BG  xh 3 /113(Fm05)"
"94173","BG  xh 3 /Gs02b"
"94174","BG  xh 3 /101(Gs01)"
"94175","BG  xh 3 /Gs05"
"94182","BG  xh 3 /Gs01$2b.1"
"94183","BG  xh 3 /110"
"94184","BG  xh 3 /Gs02b"
"94185","BG  xh 3 /101(Gs01)"
"94186","BG  xh 3 /Gg27"
"94188","BG  xh 3 /113(Fm05)"
"9419","BG  xh 3 /Gs01$2b.1"
"94198","BG  xh 3 /Gs02a"
"94199","BG  xh 3 /Gs01$2b.1"
"94200","BG  xh 3 /Rt04a"
"94207","BG  xh 3 /Gs02a"
"94208","BG  xh 3 /113(Fm05)"
"94209","BG  xh 3 /Gs02a"
"9421","BG  xh 3 /Gs02a"
"94210","BG  xh 3 /Gg27"
"94211","BG  xh 3 /101(Gs01)"
"94212","BG  xh 3 /112(Fm01)"
"9424","BG  xh 3 /Gs02a"
"9425","BG  xh 3 /Gg25"
"9427","BG  xh 3 /Gs02a"
"9428","BG  xh 3 /Gg04"
"9429","BG  xh 3 /Gs02a"
"9431","BG  xh 3 /Gs02a"
"9433","BG  xh 3 /113(Fm05)"
"9445","BG  xh 3 /Gs02a"
"9446","BG  xh 3 /Gg04"
"9450","BG  xh 3 /Ro04"
"9463","BG  xh 3 /Gs02a"
"9464","BG  xh 3 /112(Fm01)"
"9471","BG  xh 3 /Gg04"
"9474","BG  xh 3 /Rt04b"
"94OS010","BG  xh 3 /101(Gs01)"
"94OS011","BG  xh 3 /Gg04"
"95K*053","BG  xh 3 /Gg04"
"95K*054","BG  xh 3 /Gs02a"
"95KI001","BG  xh 3 /101(Gs01)"
"95KI009","BG  xh 3 /Gs01$2b.1"
"95KI010","BG  xh 3 /Gg04"
"95KI011","BG  xh 3 /Gs02a"
"95KI012","BG  xh 3 /Ro04"
"95KI013","BG  xh 3 /110"
"95KI014","BG  xh 3 /101(Gs01)"
"95KI017","BG  xh 3 /Fl06"
"95KI021","BG  xh 3 /Ff03"
"95KI023","BG  xh 3 /Gs05"
"95KI024","BG  xh 3 /Gg25"
"95KI025","BG  xh 3 /Gs01$2b.1"
"95KI026","BG  xh 3 /Gs02a"
"95KI027","BG  xh 3 /Ro04"
"95KI030","BG  xh 3 /Gg04"
"95KI031","BG  xh 3 /111"
"95KI033","BG  xh 3 /Gg25"
"95KI034","BG  xh 3 /Gs02a"
"95KI040","BG  xh 3 /Gg27"
"95KI050","BG  xh 3 /Ff02"
"95KI051","BG  xh 3 /Ff02"
"95KI052","BG  xh 3 /Ff01"
"95KI057","BG  xh 3 /Ff01"
"95KI059","BG  xh 3 /Rt04a"
"95RC003","BG  xh 3 /Gg25"
"95RC004","BG  xh 3 /101(Gs01)"
"964117","BG  xh 3 /101(Gs01)"
"964118","BG  xh 3 /Gg04"
"964119","BG  xh 3 /110"
"964173","BG  xh 3 /Wm05"
"96KI001","BG  xh 3 /Gg04"
"96KI002","BG  xh 3 /111"
"96KI003","BG  xh 3 /Gs02b"
"96KI004","BG  xh 3 /Gs02a"
"96RC002","BG  xh 3 /111"
"96RC003","BG  xh 3 /Ro04"
"96RC004","BG  xh 3 /Rt04a"
"96RC005","BG  xh 3 /111"
"96RC006","BG  xh 3 /Ro04"
"96RC011","BG  xh 3 /Ff01"
"98-127","BG  xh 3 /Gs01$2b.1"
"98-128","BG  xh 3 /Gg04"
"98-129","BG  xh 3 /Gg25"
"98-130","BG  xh 3 /Gg03"
"98-132","BG  xh 3 /Ro04"
"98-133","BG  xh 3 /Gg03"
"98-312","BG  xh 3 /Gg04"
"98-321","BG  xh 3 /Rt04b"
"98-322","BG  xh 3 /Gg04"
"98DM009","BG  xh 3 /Gs01$2b.1"
"98DM010","BG  xh 3 /113(Fm05)"
"98DM011","BG  xh 3 /101(Gs01)"
"K00-335","BG  xh 3 /101(Gs01)"
