PlotNumber,SiteUnit
98-208,BG  xw 1 /Rt05
9628814,BG  xw 1 /Wm03
9628815,BG  xw 1 /Wm05
9628835,BG  xw 1 /Wm05
9628840,BG  xw 1 /Wm05
K00-267,BG  xw 1 /Wm05
9628811,BG  xw 1 /Wm06
9628812,BG  xw 1 /Wm06
K00-268,BG  xw 1 /Wm06
98KAM13,BG  xw 1 /Wm07
K00-263,BG  xw 1 /Wm07
K08-067,BG  xw 1 /Wm11
K08-093,BG  xw 1 /Wm11
9628837,BG  xw 1 /Ws03
2881,BG  xw 2 /101 (Gg04a)
3381,BG  xw 2 /101 (Gg04a)
581,BG  xw 2 /101 (Gg04a)
94OS06,BG  xw 2 /101 (Gg04a)
9523017,BG  xw 2 /101 (Gg04a)
9523019,BG  xw 2 /101 (Gg04a)
95K*095,BG  xw 2 /101 (Gg04a)
95K*097,BG  xw 2 /101 (Gg04a)
95K*101,BG  xw 2 /101 (Gg04a)
964172,BG  xw 2 /101 (Gg04a)
R102782,BG  xw 2 /101 (Gg04a)
R115781,BG  xw 2 /101 (Gg04a)
681,BG  xw 2 /101 (Gg04b)
95LM03A,BG  xw 2 /101 (Gg04b)
95LM04A,BG  xw 2 /101 (Gg04b)
95LM08A,BG  xw 2 /101 (Gg04b)
95LM09A,BG  xw 2 /101 (Gg04b)
95LM09B,BG  xw 2 /101 (Gg04b)
R530981,BG  xw 2 /101 (Gg04b)
3581,BG  xw 2 /101 (Gg04c)
94204,BG  xw 2 /101 (Gg04c)
9477,BG  xw 2 /101 (Gg04c)
95K*068,BG  xw 2 /101 (Gg04c)
95KI098,BG  xw 2 /101 (Gg04c)
94162,BG  xw 2 /Ff01
94165,BG  xw 2 /Ff01
95KI079,BG  xw 2 /Ff02
95KI072,BG  xw 2 /Ff03
95KI093,BG  xw 2 /Fl04
963069,BG  xw 2 /Fl04
964196,BG  xw 2 /Fm01
95RC014,BG  xw 2 /Ga02.2
95K*042,BG  xw 2 /Ga03
95KI043,BG  xw 2 /Ga03
962934,BG  xw 2 /Ga03
962949,BG  xw 2 /Ga03
9466,BG  xw 2 /Gg01
9523020,BG  xw 2 /Gg01
95KI037,BG  xw 2 /Gg01
95RC*19,BG  xw 2 /Gg01
9624517,BG  xw 2 /Gg01
964203,BG  xw 2 /Gg01
95KI100,BG  xw 2 /Gg03
9458,BG  xw 2 /Gg22a
9523048,BG  xw 2 /Gg22a
95K*078,BG  xw 2 /Gg22a
95K*066,BG  xw 2 /Gg22b
95KI047,BG  xw 2 /Gg22b
9447,BG  xw 2 /Gg24
94OS007,BG  xw 2 /Gg24
94OS03,BG  xw 2 /Gg24
94OS04,BG  xw 2 /Gg24
95K*070,BG  xw 2 /Gg24
95KI038,BG  xw 2 /Gg24
95LM11A,BG  xw 2 /Gg24
964153,BG  xw 2 /Gg24
R113781,BG  xw 2 /Gg24
95K*092,BG  xw 2 /Gg27
95K*099,BG  xw 2 /Gg27
95KI091,BG  xw 2 /Gg27
95RC*10,BG  xw 2 /Gg27
964122,BG  xw 2 /Gs01
R329981,BG  xw 2 /Gs01
94OS008,BG  xw 2 /Gs02
95K*075,BG  xw 2 /Gs02
95KI036,BG  xw 2 /Gs02
94198,BG  xw 2 /Gs02b
94192,BG  xw 2 /Rt04
9465,BG  xw 2 /Rt05
95KI044,BG  xw 2 /Wm03
962935,BG  xw 2 /Wm03
962937,BG  xw 2 /Wm03
95RC013,BG  xw 2 /Wm04
95KI062,BG  xw 2 /Wm06
962936,BG  xw 2 /Wm07
962947,BG  xw 2 /Wm07
963068,BG  xw 2 /Wm07
94195,BG  xw 2 /Wm09
147693,BG xh 1  /Gs11
147694,BG xh 1  /Gs11
08-3315,BWBSdk   /Fm20
08-3323,BWBSdk   /Fm20
08-3344,BWBSdk   /Fm20
9628519,BWBSdk   /Fm20
9628536,BWBSdk   /Fm20
9628538,BWBSdk   /Fm20
966625,BWBSdk   /Fm20
966761,BWBSdk   /Fm20
O4CH120,BWBSdk   /Fm20
9628702,BWBSdk 1 /Fl03
9651118,BWBSdk 1 /Fl03
966694,BWBSdk 1 /Fl03
29315,BWBSdk 2 /Wm15
9628766,BWBSmk   /Fl05
29320,BWBSmk   /Fm20
9612289,BWBSmk   /Fm20
BOR39,BWBSmk   /Fm20
L186,BWBSmk   /Fm20
L216,BWBSmk   /Fm20
RA74064,BWBSmk   /Fm20
RA74065,BWBSmk   /Fm20
RA74068,BWBSmk   /Fm20
RA74073,BWBSmk   /Fm20
RA74074,BWBSmk   /Fm20
RA74083,BWBSmk   /Fm20
RA74084,BWBSmk   /Fm20
RA74085,BWBSmk   /Fm20
L184,BWBSmk   /Wm15
0107649,BWBSmw   /Fm20
0107662,BWBSmw   /Fm20
0107668,BWBSmw   /Fm20
5760226,BWBSmw   /Fm20
8225782,BWBSmw   /Fm20
8225786,BWBSmw   /Fm20
8529403,BWBSmw   /Fm20
8529448,BWBSmw   /Fm20
8529450,BWBSmw   /Fm20
8630475,BWBSmw   /Fm20
8900321,BWBSmw   /Fm20
8900355,BWBSmw   /Fm20
9103018,BWBSmw   /Fm20
9621265,BWBSmw   /Fm20
9621437,BWBSmw   /Fm20
9623767,BWBSmw   /Fm20
LA027,BWBSmw   /Fm20
LA342,BWBSmw   /Fm20
NB431,BWBSmw   /Fm20
WB201,BWBSmw   /Fm20
WB278,BWBSmw   /Fm20
WB413,BWBSmw   /Fm20
9628126,BWBSmw 2 /Wm15
9628128,BWBSmw 2 /Wm15
9628299,BWBSmw 2 /Wm15
8529481,BWBSwk 2 /Fm20
0116517,CMA un   /Ro35
0116520,CMA un   /Ro35
02-1043,CMA un   /Ro35
08-0062,CMA un   /Ro35
AA 002,CMA un   /Ro35
AA 004,CMA un   /Ro35
AA 041,CMA un   /Ro35
AA 062,CMA un   /Ro35
AA 065,CMA un   /Ro35
TEM2Y30,CMA vm 2 /Vs50
9618648,CWH dm   /Vs51
9801351,CWH mm 2 /Vs50
LG10001,CWH ms 1 /Vh01.1
034379,CWH ms 1 /Vs50
9614366,CWH vm 1 /Vs50
9618654,CWH vm 1 /Vs51
KZ16252,CWH vm 1 /Vs51
S95BR08,CWH vm 1 /Vs51
KZ00452,CWH vm 1 /Vs52
S95CT58,CWH vm 2 /Vs04
9801367,CWH vm 2 /Vs50
KZ32852,CWH vm 2 /Vs50
