ID,Formation,Class,Order,Suborder,Alliance,Suball,Assoc,Subass,Facies,Working,SiteUnit
939,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL Pseumen-Junisco-Pseuspi (cool dry),ASSOC Pseumen-Pseuspi-Hylospl (cool aspect),ASSOC Pseumen-Pseuspi-Hylospl (cool aspect),,,BG  xw 2 /111
,NewUnitstoPlace,,,,,,,,,,BG  xw 2 /112
1031,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Calarub (typic),SUBALL Pseumen-Calarub-Hylospl-Pleusch (xm zonal/cool aspect),ASSOC Fd-Calarub-Pleusch(IDFxm zonal),ASSOC Fd-Calarub-Pleusch(IDFxm zonal),,,BG  xw 2 /113
1773,Formation Populus,CLASS Populus-Betula,ORDER Poputre,SUBORDER Poputre-Sympalb (IDF-MS),ALLIANCE Poputre-Sympocc-Rosawoo,ALLIANCE Poputre-Sympocc-Rosawoo,,,,ASSOC Poputre-Acergla-Sympocc,BG  xw 2 /114
1771,Formation Populus,CLASS Populus-Betula,ORDER Poputre,SUBORDER Poputre-Sympalb (IDF-MS),ALLIANCE Poputre-Sympocc-Rosawoo,ASSOC Poputre-Rosawoo,,,,SUBASS Poputre-Rosawoo[Sympocc],BG  xw 2 /115
439,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Shepcan-Hylospl,ASSOC Picegla-Shepcan-Hylospl,,,BWBSdk   /101
507,Formation ConiferForests,CLASS Picea,ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry),SUBORDER Pinucon-Vaccvit (BWBS),ALLIANCE Pinucon-Arctuva-Vaccvit,ALLIANCE Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,,,BWBSdk   /102
438,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Pinucon-Shepcan-Geocliv,ASSOC Picegla-Pinucon-Shepcan-Geocliv,,,BWBSdk   /103
197,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Picemar-Vaccmem-Vaccvit,,,BWBSdk   /104
428,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSdk   /110
427,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(Alnuinc),,,BWBSdk   /111
,NewUnitstoPlace,,,,,,,,,,BWBSdk   /112
,NewUnitstoPlace,,,,,,,,,,BWBSdk   /Wb03
1875,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Equiset-Sphagnu,,,Wb09 ASSOC Picemar-Equiarv-Sphagnu,Wb09 ASSOC Picemar-Equiarv-Sphagnu,,,BWBSdk   /Wb09
1917,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Betunan-Ledugro-Sphagnu,,,Wb11 ASSOC Picemar(Pinucon)-Menytri-Sphagnu,Wb11 ASSOC Picemar(Pinucon)-Menytri-Sphagnu,,,BWBSdk   /Wb11
1845,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Ws15 ASSOC SwSb-Ledugro-Aulapal,Ws15 ASSOC SwSb-Ledugro-Aulapal,,,BWBSdk   /Ws15
443,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Vaccvit-Hylospl,ASSOC Picegla-Vaccvit-Hylospl,,,BWBSmk   /101
509,Formation ConiferForests,CLASS Picea,ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry),SUBORDER Pinucon-Vaccvit (BWBS),ALLIANCE Pinucon-Arctuva-Vaccvit,ALLIANCE Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,,,BWBSmk   /102
